Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
The Gateway Hotel Marine Drive Ernakulam,4.3,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹9,440"
Trident Hotel Cochin,4.4,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹6,978"
KTDC Grand Chaithram,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,"₹2,828"
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",3.8,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,"₹2,898"
Hotel Venkateswara,3.7,trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,"₹1,059"
Roop Mahal Premier Inn,3.9,trivandrum,3-star hotel,Free breakfast,Wi-Fi,Parking,Air conditioning,Restaurant,Kitchen in some rooms,Airport shuttle,Full-service laundry,₹601
Safire Residency,4.0,trivandrum,3-star hotel,Wi-Fi,Air conditioning,Pet-friendly,Kitchen in some rooms,Airport shuttle,Full-service laundry,Kid-friendly,NA,₹874
HOTEL HIGHLAND,4.0,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,"₹1,352"
Hotel Prathiba Heritage,3.7,trivandrum,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,Smoke-free property,NA,NA,₹958
Saras Park Inn,3.4,trivandrum,2-star hotel,Air conditioning,Kitchen in some rooms,Full-service laundry,Kid-friendly,NA,NA,NA,NA,₹902
Stayzone Royal INN,3.7,trivandrum,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen in some rooms,Airport shuttle,Full-service laundry,Kid-friendly,₹873
Casa In Luxury Suites,4.1,trivandrum,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,"₹2,556"
Government Guest House,4.1,trivandrum,Free Wi-Fi,Free parking,Pool,Air conditioning,Kitchen in some rooms,Full-service laundry,NA,NA,NA,NA
Hilton Garden Inn Trivandrum,4.3,trivandrum,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹5,908"
KTDC Grand Chaithram,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,"₹2,509"
Adara Residency,4.4,trivandrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"₹1,568"
Montecello Home Stay,3.2,trivandrum,Free Wi-Fi,Parking,Pet-friendly,Beach access,Kitchen in some rooms,Full-service laundry,Kid-friendly,NA,NA,₹658
Ariya Nivaas - A Vegetarian Hotel,4.2,trivandrum,2-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,"₹2,520"
Ivy Residency,4.8,trivandrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"₹2,395"
O by Tamara Trivandrum,4.5,trivandrum,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹6,790"
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",3.8,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,"₹2,898"
The Ocean Park Beach Resort,3.0,trivandrum,2-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Spa,Beach access,Restaurant,Room service,Kitchen in some rooms,"₹1,309"
Ariya Nivaas - A Vegetarian Hotel,4.2,trivandrum,2-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,"₹2,520"
Hotel Rajadhani,3.9,trivandrum,Free breakfast,Free Wi-Fi,Parking,Restaurant,Room service,Full-service laundry,NA,NA,NA,"₹2,808"
Cocoon Hotel,4.3,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,"₹3,798"
The Gold Haven - Serviced Residences,4.2,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,"₹3,328"
ISKCON NVCC Pune,4.7,pune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyatt Pune,4.4,pune,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹9,055"
Jugglers Backpack,4.7,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen in rooms,Airport shuttle,Full-service laundry,Business center,"₹1,313"
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,pune,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹7,151"
"The Central Park Hotel, Pune",4.1,pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹3,708"
The Corinthians Resort and Club Pune,4.4,pune,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹5,379"
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Kitchen in some rooms,Full-service laundry,Accessible,"₹5,063"
Hotel Phoenix,4.0,pune,3-star hotel,Free breakfast,Wi-Fi,Parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,"₹2,752"
The Oakwood,4.0,pune,4-star hotel,Free breakfast,Wi-Fi,Parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Full-service laundry,"₹3,333"
COLIWO UN (CoLive and CoWork) VimanNagar | Kharadi,4.6,pune,Breakfast ($),Free Wi-Fi,Parking,Restaurant,Room service,Kitchen in some rooms,Full-service laundry,NA,NA,"₹1,614"
Royal Orchid Central Pune,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹5,086"
Hotel anvisha executive,4.4,pune,NA,NA,NA,NA,NA,NA,NA,NA,NA,"₹1,067"
Procida Hostel by Zero Jhanjhat,4.4,pune,Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,NA,NA,NA,NA,₹921
Pratikruti The Lakeview Resort,4.2,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Pet-friendly,Restaurant,Room service,"₹1,416"
Radisson Blu Hotel Pune Kharadi,4.3,pune,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹7,591"
my daddy's home,3.5,pune,Free breakfast,Free parking,Pet-friendly,Kitchen in some rooms,Full-service laundry,Kid-friendly,NA,NA,NA,"₹1,138"
White Castle Heritage,3.9,pune,2-star hotel,Breakfast,Free Wi-Fi,Parking,Outdoor pool,Air conditioning,Room service,Kitchen in some rooms,Kid-friendly,"₹1,511"
"Amanora The Fern - An Ecotel Hotel, Pune",4.5,pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹5,919"
EMA Family Rooms,3.8,pune,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,"₹1,241"
Flagship Myra Serviced Apartments,3.2,pune,Apartment,Sleeps 3,1 bedroom,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator,No fireplace,₹411
Hotel Centro,4.4,pune,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,"₹3,427"
Hotel Aurora Towers,4.1,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Bar,"₹4,681"
ibis Chennai Sipcot,4.4,chennai,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Bar,Restaurant,"₹3,248"
Novotel Chennai Sipcot,4.7,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pools,Air conditioning,Fitness center,Bar,Restaurant,"₹4,812"
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,chennai,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,"₹3,853"
Hanu Reddy Residences | Poes Garden,4.2,chennai,Sleeps 12,4 bedrooms,Fireplace,Fitness center,Kitchen,Cable TV,Paid parking,No air conditioning,No crib,"₹4,687"
VGP Golden Beach Resort,3.9,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Spa,Beach access,"₹4,267"
Luxurious Cottage at ECR,4.3,chennai,Sleeps 23,8 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,"₹23,625"
Leisure Stays | Rooms & Restaurant,3.7,chennai,3 bedrooms,1 bathroom,4 beds,Air conditioning,Balcony,Beach access,Kitchen,Cable TV,Free Wi-Fi,"₹3,213"
Beach Elegance Service Apartment,2.0,chennai,Sleeps 12,3 bedrooms,Air conditioning,Fireplace,Free Wi-Fi,No crib,No elevator,No fitness center,No ironing board,"₹3,335"
The Blue House- Resorts In Ecr | Beach House In Ecr,4.4,chennai,Free parking,Pool,Air conditioning,Beach access,Kitchen in some rooms,Airport shuttle,Full-service laundry,Kid-friendly,NA,NA
Umino Beach Resort Banquet Hall and Restaurant,4.3,chennai,Breakfast ($),Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,"₹4,824"
Ilara Hotels & Spa,4.6,chennai,3-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Spa,Restaurant,Room service,"₹3,185"
Four Points by Sheraton Chennai OMR,4.2,chennai,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Restaurant,Room service,"₹5,072"
ibis Chennai Sipcot,4.4,chennai,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Bar,Restaurant,"₹3,238"
Turyaa Chennai,4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹4,368"
Blue Lagoon Beach Resort,3.9,chennai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Room service,Full-service laundry,"₹18,124"
"Taj Club House, Chennai",4.4,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Pet-friendly,Fitness center,Spa,"₹7,980"
"Zone by The Park Hotel, Chennai",4.1,chennai,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹3,501"
Maroma Suites,4.6,chennai,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,"₹3,872"
Novotel Chennai Sipcot,4.7,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pools,Air conditioning,Fitness center,Bar,Restaurant,"₹4,741"
"Taj Wellington Mews, Chennai",4.5,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,"₹8,396"
"Vivanta Chennai, IT Expressway",4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,"₹5,679"
Niketana @ Boat Club,4.0,chennai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,"₹4,480"
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,"₹4,086"
Accord Chrome,4.6,chennai,Free breakfast,Free Wi-Fi,Free parking,Spa,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,Full-service laundry,"₹6,222"
Hilton Garden Inn New Delhi/Saket,4.2,delhi,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹11,210"
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹5,376"
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹4,411"
The Leela Ambience Convention Hotel Delhi,4.5,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹8,230"
Hotel City Park- Hotels in Delhi,4.3,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,"₹5,376"
"The Connaught, New Delhi - IHCL SeleQtions",4.6,delhi,4-star hotel,Breakfast ($),Free Wi-Fi,Outdoor pool,Air conditioning,Pet-friendly,Fitness center,Parking,Bar,"₹7,949"
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,delhi,5-star hotel,Breakfast ($),Free Wi-Fi,Parking ($),Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹6,950"
Hotel Hari Piorko,3.9,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Spa,Restaurant,Room service,Airport shuttle,Full-service laundry,₹874
IIDL Suites,4.3,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,"₹5,784"
Hyatt Centric Janakpuri New Delhi,3.8,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹7,715"
Ramada by Wyndham New Delhi Pitampura,3.9,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible,"₹6,175"
Caves by Craftels,4.7,delhi,Breakfast ($),Free Wi-Fi,Free parking,Indoor pool,Hot tub,Air conditioning,Spa,Restaurant,Room service,"₹5,040"
"Ambassador, New Delhi - IHCL SeleQtions",4.4,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,"₹6,840"
"The Saga Hotel, Green Park | New Delhi",4.0,delhi,Free Wi-Fi,Restaurant,Room service,Kitchen in some rooms,Full-service laundry,Smoke-free property,NA,NA,NA,"₹3,602"
Hotel Regent Grand,4.0,delhi,4-star hotel,Breakfast ($),Free Wi-Fi,Parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,"₹4,374"
Bloom Boutique | GK-1,4.2,delhi,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Full-service laundry,"₹4,659"
Delhi Home Stay,4.7,delhi,Wi-Fi,Air conditioning,NA,NA,NA,NA,NA,NA,NA,"₹1,030"
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹7,138"
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹8,915"
"Lemon Tree Premier, Delhi Airport",4.2,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹7,484"
MEGHA HOMESTAY,3.8,delhi,Sleeps 9,4 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,"₹2,279"
JPM White House,3.7,delhi,Sleeps 7,2 bedrooms,Air conditioning,Elevator,Fireplace,Paid parking,Free Wi-Fi,No crib,No fitness center,"₹1,745"
"Holiday Inn New Delhi Int'L Airport, an IHG Hotel",4.7,delhi,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹12,861"
"Ambassador, New Delhi - IHCL SeleQtions",4.4,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,"₹7,839"
HOTEL CRYSTAL CROWN,4.6,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Business center,"₹2,990"
Pal Heights Mantra,4.2,bhubaneswar,3-star hotel,Free breakfast,Free Wi-Fi,Parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,"₹5,914"
Hello Stay Hotel Bhubaneswar,4.2,bhubaneswar,Breakfast,Free Wi-Fi,Parking,Air conditioning,Kitchen in some rooms,Airport shuttle,Full-service laundry,Kid-friendly,NA,"₹1,231"
"Mango Hotels–Prangan, Bhubaneswar",4.1,bhubaneswar,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,"₹2,496"
HOTEL CRYSTAL CROWN,4.6,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Business center,"₹2,990"
Venus Inn Restaurant,4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,"₹1,655"
The Suncity Hotels in Bhubaneswar,3.9,bhubaneswar,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,"₹1,231"
KIIT Residency,4.5,bhubaneswar,Free breakfast,Free Wi-Fi,Parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,NA,NA
THE GREENSTAR INN PREMIUM,4.6,bhubaneswar,Breakfast ($),Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen in some rooms,NA,"₹1,425"
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,"₹6,476"
Ginger Bhubaneshwar,3.9,bhubaneswar,2-star hotel,Free Wi-Fi,Parking ($),Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,NA,"₹3,018"
Mayfair Lagoon,4.6,bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,"₹12,432"
Greenland Premium Hotel,4.2,bhubaneswar,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,NA,NA,"₹1,092"
Empires Hotel Bhubaneswar,4.1,bhubaneswar,3-star hotel,Breakfast ($),Free Wi-Fi,Parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹3,727"
Swosti Grand - Best Hotel near Bhubaneswar Railway Station and Airport,4.2,bhubaneswar,3-star hotel,Free breakfast,Free Wi-Fi,Parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,"₹3,809"
Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹3,386"
"Vivanta Bhubaneswar, DN Square",4.6,bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Pet-friendly,Fitness center,Spa,"₹11,101"
"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",4.7,bhubaneswar,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,"₹7,616"
Hotel Rajdhani,3.7,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,Full-service laundry,"₹1,069"
Hotel Middleton,4.0,bhubaneswar,Free breakfast,Free Wi-Fi,Parking,Pool,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,"₹2,234"
"KILA DALIJODA, A Heritage Homestay. Experience India as never before.",4.9,bhubaneswar,House,Sleeps 10,4 bedrooms,4 bathrooms,Kid-friendly,Kitchen,Pet-friendly,Washer,Free parking,"₹9,536"
B & B | A Bed & Breakfast with Homely Meals,4.3,bhubaneswar,3 bedrooms,Airport shuttle,Fireplace,Hot tub,Free parking,Free Wi-Fi,No beach access,No crib,No elevator,"₹1,869"
Ginger Bhubaneshwar,3.9,bhubaneswar,2-star hotel,Free Wi-Fi,Parking ($),Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,NA,"₹3,695"
HOTEL MARIGOLD,4.1,bhubaneswar,Free breakfast,Free Wi-Fi,Parking ($),Pool,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,Full-service laundry,"₹3,641"
ibis Mumbai Vikhroli,4.5,mumbai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,Airport shuttle,"₹7,279"
"Holiday Inn Mumbai International Airport, an IHG Hotel",4.5,mumbai,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹10,029"
Courtyard by Marriott Mumbai International Airport,4.4,mumbai,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹7,802"
Goldfinch Hotel,4.0,mumbai,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹4,619"
"The Taj Mahal Palace, Mumbai",4.7,mumbai,5-star hotel,Free breakfast,Free Wi-Fi,Parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹34,681"
Colaba Suites | Colaba | Mumbai,3.4,mumbai,Free Wi-Fi,Parking ($),Pool,Restaurant,Full-service laundry,NA,NA,NA,NA,"₹1,764"
Royal Palms Villas with Private Pool,4.0,mumbai,Free Wi-Fi,Parking,Pool,Kitchen in some rooms,Full-service laundry,NA,NA,NA,NA,"₹13,284"
Grand Hyatt Mumbai Hotel & Residences,4.5,mumbai,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,"₹14,021"
Shahana Guest House,3.1,mumbai,2-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Full-service laundry,NA,NA,NA,NA,₹630
